Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR
E0;14/08/2004;Aston Villa;Southampton;2;0;H
E0;14/08/2004;Blackburn;West Brom;1;1;D
E0;14/08/2004;Bolton;Charlton;4;1;H
E0;14/08/2004;Man City;Fulham;1;1;D
E0;14/08/2004;Middlesbrough;Newcastle;2;2;D
E0;14/08/2004;Norwich;Crystal Palace;1;1;D
E0;14/08/2004;Portsmouth;Birmingham;1;1;D
E0;14/08/2004;Tottenham;Liverpool;1;1;D
E0;15/08/2004;Chelsea;Man United;1;0;H
E0;15/08/2004;Everton;Arsenal;1;4;A
E0;21/08/2004;Birmingham;Chelsea;0;1;A
E0;21/08/2004;Charlton;Portsmouth;2;1;H
E0;21/08/2004;Crystal Palace;Everton;1;3;A
E0;21/08/2004;Fulham;Bolton;2;0;H
E0;21/08/2004;Liverpool;Man City;2;1;H
E0;21/08/2004;Man United;Norwich;2;1;H
E0;21/08/2004;Newcastle;Tottenham;0;1;A
E0;21/08/2004;Southampton;Blackburn;3;2;H
E0;22/08/2004;Arsenal;Middlesbrough;5;3;H
E0;22/08/2004;West Brom;Aston Villa;1;1;D
E0;24/08/2004;Birmingham;Man City;1;0;H
E0;24/08/2004;Crystal Palace;Chelsea;0;2;A
E0;25/08/2004;Arsenal;Blackburn;3;0;H
E0;25/08/2004;Charlton;Aston Villa;3;0;H
E0;25/08/2004;Fulham;Middlesbrough;0;2;A
E0;25/08/2004;Newcastle;Norwich;2;2;D
E0;25/08/2004;Southampton;Bolton;1;2;A
E0;25/08/2004;West Brom;Tottenham;1;1;D
E0;28/08/2004;Aston Villa;Newcastle;4;2;H
E0;28/08/2004;Blackburn;Man United;1;1;D
E0;28/08/2004;Chelsea;Southampton;2;1;H
E0;28/08/2004;Everton;West Brom;2;1;H
E0;28/08/2004;Man City;Charlton;4;0;H
E0;28/08/2004;Middlesbrough;Crystal Palace;2;1;H
E0;28/08/2004;Norwich;Arsenal;1;4;A
E0;28/08/2004;Tottenham;Birmingham;1;0;H
E0;29/08/2004;Bolton;Liverpool;1;0;H
E0;30/08/2004;Man United;Everton;0;0;D
E0;30/08/2004;Portsmouth;Fulham;4;3;H
E0;11/09/2004;Aston Villa;Chelsea;0;0;D
E0;11/09/2004;Bolton;Man United;2;2;D
E0;11/09/2004;Fulham;Arsenal;0;3;A
E0;11/09/2004;Liverpool;West Brom;3;0;H
